label;logFC;logCPM;FDR;Regulation;Gene_ID
AT1G27330;1.56956252901656;-17.4900419667388;1.79730984334339e-33;Up;AT1G27330.1
TBL22;2.72980869282693;-21.6544689982835;1.93964445982321e-33;Up;AT3G28150.1
AT2G28440;2.90985941354162;-22.1452797678798;2.24246338283383e-33;Up;AT2G28440.1
HSFA3;4.18441908668389;-22.0769021173542;2.89198255895637e-33;Up;AT5G03720.1
AT5G66590;1.56185160393859;-19.3838799548707;4.88210138179444e-33;Up;AT5G66590.1
SQN;1.79458431580536;-19.2993968657505;4.90782900564558e-33;Up;AT2G15790.1
BIP1;1.85533263212177;-14.2973571496846;6.08878371342507e-33;Up;AT5G28540.1
HSP18.2;7.66635032371345;-15.5602461872824;7.08572126668783e-33;Up;AT5G59720.1
AT1G66510;1.62644923341954;-19.9119498556128;7.14029141961597e-33;Up;AT1G66510.1
AT3G07320;-2.17922624255499;-19.7870380208518;8.18308001972351e-33;Down;AT3G07320.1
RLP32;1.71806906954845;-17.9426149721033;9.51162283026274e-33;Up;AT3G05650.1
BIOF;-1.67207372353191;-20.9904919999553;1.10324169311019e-32;Down;AT5G04620.2
AT2G32340;2.4966840537838;-21.3449376828967;1.455913663545e-32;Up;AT2G32340.1
HAM3;1.51475598935453;-19.1866346996282;1.88614254144708e-32;Up;AT4G00150.1
AT2G45920;1.83597727083575;-19.5737836903876;3.74330007853882e-32;Up;AT2G45920.1
FRK2;-1.54740704203054;-18.5138037179062;4.31330360945275e-32;Down;AT2G31390.1
TPR2;1.61425543875919;-19.8038943844632;5.12835288929194e-32;Up;AT1G04130.1
AT3G22060;-2.68483460246587;-18.3889087662887;5.7702255156428e-32;Down;AT3G22060.1
AT3G48830;1.95120162696071;-20.809392079011;5.97671303486724e-32;Up;AT3G48830.1
NA;3.98281252624522;-22.0648643866799;7.26624077139222e-32;Up;AT4G01435.1
AT1G75290;2.10016429938665;-20.9287699308024;8.23265529812648e-32;Up;AT1G75290.2
ORF240A;4.6005092200366;-20.7757188821501;9.01226269174567e-32;Up;ATMG00690.1
AT1G61890;1.90509845066035;-18.3336931210728;9.21763368374854e-32;Up;AT1G61890.1
NA;3.79243630123186;-22.1605776656177;9.9883123020833e-32;Up;AT2G07662.1
AR192;1.87267926645451;-19.1251956881762;1.60435906325376e-31;Up;AT4G26780.1
CEPD2;-2.80608955246295;-21.8906516828395;1.79433121977323e-31;Down;AT2G47880.1
TIR;-1.74108340848725;-17.4673137966759;2.10231837704013e-31;Down;AT1G72930.1
CYP71B19;1.95784091800725;-18.6382946401157;2.30314862002223e-31;Up;AT3G26170.1
AT1G26665;1.59322376464691;-19.3987997830457;2.51491878439622e-31;Up;AT1G26665.1
WAKL7;-3.09919114702665;-20.6449686963386;2.62088780898375e-31;Down;AT1G16090.1
FTSH6;8.34059124360172;-19.7331330064986;2.73076824501674e-31;Up;AT5G15250.1
NA;1.52687861204651;-20.5072365660732;2.92164477353384e-31;Up;AT2G02765.1
